Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Profile Picture,Genre,Bio,Liner Note Title,Band Members,Band Members (Rich Text),Email,Official Website,Streaming Link,Instagram,Facebook,YouTube,Bandcamp,Other,Song,Grant Recipient Round
Labretta Suede & The Motel 6,labretta-suede-the-motel-6,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66eb4b43194e3f892f2abd42,Wed Sep 18 2024 21:50:59 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:00:49 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb4acacdf64f39695fdf26_deepellum100_trees-1020379%20copy.webp,Indie Rock / Rockabilly,"<p id="""">Originally from the country of New Zealand, Labretta Suede and the Motel 6 is a powerhouse of alternative music, with roots in rockabilly, burlesque and shock-rock. If Lux Interior of The Cramps and Amy Winehouse were meshed into a single being, and backed by 90’s alternative rock darlings Spacehog, you may come close to the greatness that is the band Labretta Suede. Their live performances are captivating, sweaty and reminiscent of a time when laptops had no place on a stage. Labretta Suede could easily have been headliners back then just as they are today. </p><p id="""">“We have been touring through Dallas from New Zealand and New York City since 2009. &nbsp;We’ve always loved the Deep Ellum music scene, and recently become locals getting involved in whatever way we can to help celebrate this music and community.” </p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.threelinksdeepellum.com"" target=""_blank"" id=""""><em id="""">Three Links</em></a><em id="""">, </em><a href=""https://www.ruinsdeepellum.com/"" target=""_blank"" id=""""><em id="""">Ruins</em></a><em id="""">, </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id=""""> and </em><a href=""https://www.doublewidedallas.com/"" target=""_blank"" id=""""><em id="""">Double Wide</em></a><em id="""">.</em></p>",Crying Shame - Labretta Suede & the Motel 6,"Written by Labretta Suede & Johnny Moondog
Band Members: Labretta Suede - Vocals; Johnny Moondog - Guitar; Marco Villalobos - Bass; Guyton Sanders - Drums","<p id=""""><em>Written by Labretta Suede &amp; Johnny Moondog</em></p><p id="""">Band Members: Labretta Suede - Vocals; Johnny Moondog - Guitar; Marco Villalobos - Bass; Guyton Sanders - Drums</p>",,https://linktr.ee/labrettasuedeandthemotel6,,https://www.instagram.com/labrettasuedeandthemotel6/,,,,,crying-shame,round-four
Lorelei K,lorelei-k,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66eb4aa485236c2af71b173b,Wed Sep 18 2024 21:48:20 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:00:40 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb4a33bcb061a5a40e263c_Lorelei%20K%20copy.webp,Dream Pop,"<p id="""">Lorelei K is a band from Dallas, Texas, known for composing and performing avant-garde music with arresting vocals. The atmospheric sound of the group is both reminiscent of European electronic music from generations past, and evocative of the growing future of this genre. Singer Dahlia Knowles powerful vocals travel from soft, and reluctant to raw, confident and sensual. Their sound is an juxtaposition of fashion music, poetry and cerebral lyricism with themes of heartbreak, trauma, and gender dysphoria set to ethereal, harmonic music. </p><p id="""">“We fall somewhere in the avant-garde, post-punk, dream pop world with arresting vocals and atmospheric high production songs. This music helps me channel all of my feelings and emotions and it’s a feeling that can’t be described in any other way.” </p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.threelinksdeepellum.com/"" target=""_blank"" id=""""><em id="""">Three Links</em></a><em id="""">, </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id=""""> and </em><a href=""https://www.doublewidedallas.com/"" target=""_blank"" id=""""><em id="""">Double Wide</em></a><em id="""">.</em></p>",Blue Part Four - Lorelei K,"Written by Dahlia Knowles
Musicians: Dahlia Knowles - Vocals; Mills Chaiken - Guitar; Rex Davis - Bass; Michael Briggs - Backing Vocals, Synth; Dean Adams - Drums","<p id=""""><em>Written by Dahlia Knowles</em></p><p id="""">Musicians: Dahlia Knowles - Vocals; Mills Chaiken - Guitar; Rex Davis - Bass; Michael Briggs - Backing Vocals, Synth; Dean Adams - Drums</p>",,https://lnk.bio/loreleik/,,https://www.instagram.com/l0releik/,,,,,blue-part-four,round-four
Cure For Paranoia,cure-for-paranoia,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a9ebccefac6bc4a33abe,Wed Sep 04 2024 18:41:47 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:00:17 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3e70a434319bcbc1f6d2_SODE_Cure%20for%20Paranoia%2C%20by%20KARLO%20Ramos_45%20copy.webp,Alternative Hip-Hop,"<p id="""">Cure for Paranoia is synonymous with Deep Ellum. Over the past seven years, both together and individually, the band has distinctively shaped culture in the neighborhood. The band has single-handedly ushered in a new era of local collaboration working with <a href=""https://baduworldmarket.com/"" target=""_blank"" id="""">Erykah Badu</a>, <a href=""https://www.wrldfms.com/"" target=""_blank"" id="""">WRLDFMS Tony Williams</a>, <a href=""https://www.instagram.com/chilldrenofindigo/"" target=""_blank"" id="""">Chilldren of Indigo</a>, and <a href=""https://www.instagram.com/wethemgrays/"" target=""_blank"" id="""">We Them Grays</a>, as their ambitious collaborations with local artists continue to influence the neighborhood’s musical ecosystem.</p><p id="""">The group’s offerings are collaborative with an emphasis on Cameron McCloud’s free flowing verses. Cameron’s rapid fire delivery is as dynamic as his on stage charisma. The music itself is upbeat and fun with swaggering lyrics, but concepts like self-doubt, bipolar disorder and schizophrenia are also packed into many of the songs. Their enigmatic sound is hard to put a label on, but the band has set the tone for the new sound of Deep Ellum.</p><p id="""">“I’ve heard Deep Ellum been compared to Gotham City, and I feel like at this moment Deep Ellum needs a hero more than ever, and that hero would be the music in Deep Ellum. The music out here is the heartbeat of the city and I feel like if it wasn’t for the music, Deep Ellum would not have been able to elevate like it has.”</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.thefactoryindeepellum.com/"" target=""_blank"" id=""""><em id="""">The Factory</em></a><em id="""">, </em><a href=""https://www.threelinksdeepellum.com/"" target=""_blank"" id=""""><em id="""">Three Links</em></a><em id="""">, </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id=""""> and </em><a href=""https://www.deepellumart.co/"" target=""_blank""><em id="""">Deep Ellum Art Co.</em></a></p>",Unbothered - Cure For Paranoia,Cameron McCloud - Vocals; Jayanalog - MPC; Tomahawk Jonez - MPC; Kwinton Gray - Keyboards; Jonathan Mones - Saxophone; Jackie Whitmill Jr. - Drums; KJ Gray - Bass,"<p><em id="""">Written and Performed by Cure For Paranoia</em></p><p id="""">Cameron McCloud - Vocals; Jayanalog - MPC; Tomahawk Jonez - MPC; Kwinton Gray - Keyboards; Jonathan Mones - Saxophone; Jackie Whitmill Jr. - Drums; KJ Gray - Bass</p>",,,https://l.instagram.com/?u=https%3A%2F%2Fopen.spotify.com%2Ftrack%2F16l4mNUz9wmU2nutP1apGG%3Fsi%3D8J3eOcPqQ4K7UpjT5Hbl8g&e=AT0z0ezAWo3sl89Py8SNDsR7478DDejphhWodlNnbQyPxykvLbTxVqsNT7CP9hDinmhwbocFwu0CanKYd8OkasaYHdTBUhlFaxxFoRQ,https://www.instagram.com/cureforparanoia/,,https://www.youtube.com/@CureForParanoia,,,unbothered,round-four
Skinny Cooks,skinny-cooks,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a961a868298efc40f54a,Wed Sep 04 2024 18:39:29 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:01:04 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3e7c6bc3775d00b8d7f8_deepellum100_trees-1010431%20copy.webp,Funk / Psychedelic,"<p id="""">Skinny Cooks is a unique blend of soul, fusion and alternative R&amp;B. The group is the brainchild of Nigel Newton and Brianne Sargent, was formed after Newton relocated to Dallas, Texas aiming to establish an artistic career. &nbsp;Skinny Cooks exudes cool with their experimentations and artistic chemistry that rely on the unlikely combination of the vibraphone and cello. Heavily influenced by jazz, funk, rock, R&amp;B, and soul music, the duo has written over 120 songs since their inception, repeatedly bending the norms of all the genres they enjoy. </p><p id="""">Skinny Cooks are a fearless dive into the uncharted abyss of soul stirring fusion. They have no fear of the darkness that is the creative deep. Love them, embrace them, appreciate them and allow them to set you free.</p><p id="""">“I think music affects the society and culture at large in a positive way because it brings people together, it’s a universal language, and it’s something that people of all backgrounds can get behind and enjoy together.”</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.threelinksdeepellum.com/"" target=""_blank"" id=""""><em id="""">Three Links</em></a><em id="""">, </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id=""""> and </em><a href=""https://www.deepellumart.co/"" target=""_blank""><em id="""">Deep Ellum Art Co.</em></a></p>",Hughway Valley - Skinny Cooks,"Brianne Sargent - Vocals, Cello, Bass; Nigel Newton - Vibes, Vocals; Wes Case - Guitar; Robert Trusko - Bass; Amber Baker - Drums; Marcus Roberts - Keys ","<p><em id="""">Written By Nigel Newton and Brianne Sargent</em></p><p id="""">Brianne Sargent - Vocals, Cello, Bass; Nigel Newton - Vibes, Vocals; Wes Case - Guitar; Robert Trusko - Bass; Amber Baker - Drums; Marcus Roberts - Keys</p>",,,,https://www.instagram.com/skinnycooks/,,,https://skinnycooks.bandcamp.com/album/ghost-kitchen,,highway-valley,round-four
Stone Mecca,stone-mecca,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a614ac20a24be642337b,Wed Sep 04 2024 18:25:24 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:01:19 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3efbe44f1bccaeb15162_SODE_Stone%20Mecca%2C%20Jason%20JANIK_79%20copy.webp,Funk / Rock / R&B,"<p id="""">Stone Mecca is all out funk rock royalty with an original sound akin to a psychedelic soul Space Odyssey. Originally from New Orleans, Stone Mecca spent his formative years playing the rock clubs in Los Angeles before relocating to Dallas to soak up the vibrant music scene. He began his career in hip hop, doing studio work with the likes of Ice Cube and Snoop Dogg. Then in 2007, he built a 9 piece soul/funk band and toured the world with RZA aka Bobby Digital to support his debut album, <a href=""https://music.apple.com/us/album/first-contact/264342943"" target=""_blank"" id="""">First Contact</a>. Stone Mecca's songs ""The Walk"" and ""Oh"" were featured on Spike TV's animated show, Afro Samurai, as well as the television show's soundtrack produced by RZA. </p><p id="""">Now, as a solo artist, Stone Mecca combines his love of hard-hitting hip hop beats and funk-driven bass lines with grinding guitar riffs and soulful melodies. His latest album, <a href=""https://music.apple.com/us/album/alienman/1438754481"" target=""_blank"" id="""">Alienman</a>, is a masterful blend of roots rock, blues and funk. </p><p id="""">“I call my music psychedelic funk rock, classic rock and the black music we started a long time ago. Music affected me as a small child and it’s always good to be acknowledged for what we do, and be brought into this whole thing.”</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.threelinksdeepellum.com/"" target=""_blank"" id=""""><em id="""">Three Links</em></a><em id="""">, </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id=""""> and </em><a href=""https://www.dallasobserver.com/music/wits-end-is-leaving-deep-ellum-they-say-theyre-not-allowed-to-renew-their-lease-14285712"" target=""_blank"" id=""""><em id="""">Wits End</em></a><em id="""">.</em></p>",Shaking Me Up - Stone Mecca," Stone Mecca - Guitar & Vocals; Alex Blair - Backing Vocals, Keys, & Percussion; Valenti Funk - Drums, Keys, & Backing Vocals; Dylan Reid - Bass","<p><em id="""">Written &amp; performed by Stone Mecca</em></p><p id="""">Stone Mecca - Guitar &amp; Vocals; Alex Blair - Backing Vocals, Keys, &amp; Percussion; Valenti Funk - Drums, Keys, &amp; Backing Vocals; Dylan Reid - Bass</p>",,https://stonemeccamusic.com/,https://open.spotify.com/artist/1TGwUWwVcKAYoXSuXVZUxt?si=RludyiWqSwW18NkD8Ec6Bg,https://www.instagram.com/stonemecca/,,,,,shaking-me-up,round-four
The Memory Shivers,the-memory-shivers,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a49dde1e3476ef5d3bb2,Wed Sep 04 2024 18:19:09 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:01:46 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3f11523f0bb08cfd3523_Eric%20Martin%20-%20The%20Memory%20Shivers%20copy%202.webp,Shoegaze / Indie Rock,"<p id="""">Memory Shivers is Dallas’ premier surf, shoe-gaze and psychedelic rock band. A timeless project started several years back by Hi-Fi Drowning singer and songwriter, Eric Martin. The band features an all-star cast of respected and prominent local musicians including Guyton Sanders, and Tom Maccaulay of <a href=""https://www.facebook.com/thehappybullets/"" target=""_blank"" id="""">The Happy Bullets</a>, Poppy Xander of <a href=""https://www.instagram.com/heliumqueens/"" target=""_blank"" id="""">Helium Queens</a> and <a href=""https://www.thepolyphonicspree.com/"" target=""_blank"" id="""">Polyphonic Spree</a>, and Marshall Read of <a href=""https://idolrecords.bandcamp.com/album/falling-hard-in-the-key-of-e"" target=""_blank"" id="""">Macavity</a>. Their live shows are sonic perfection, with no musical detail left unattended. The groups striking use of video and light projections set them apart from from the crowd. The Memory Shivers is one of the most important bands in Dallas, and their extraordinary sound perfectly anchors the <a href=""https://www.deepellum100.com/sode"" target=""_blank"" id=""""><em id="""">Sounds of Deep Ellum</em></a><em id=""""> </em>live album project.</p><p id="""">“I think that music both influences our culture and as songwriters, I think that we respond to what culture is doing. Music is communal in nature and there’s something about it that really brings people together. I’m glad to be playing live again”.</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id="""">, </em><a href=""https://www.doublewidedallas.com/"" target=""_blank"" id=""""><em id="""">Double Wide</em></a><em id="""">, </em><a href=""https://www.sonsofhermannhall.com/"" target=""_blank"" id=""""><em id="""">Sons of Hermann Hall</em></a><em id="""">, and </em><a href=""https://www.granadatheater.com/"" target=""_blank""><em id="""">Granada Theater</em></a><br></p>",Darkland Desires - The Memory Shivers,"Eric L. Martin - Guitar, Vocals; Guyton Sanders - Drums; Marshall Read - Guitar; Tom McCauley - Bass; Poppy Xander - Keys; Jenise Zuidema - Vocals","<p id=""""><em id="""">Written by Eric L. Martin</em></p><p id="""">Eric L. Martin - Guitar, Vocals; Guyton Sanders - Drums; Marshall Read - Guitar; Tom McCauley - Bass; Poppy Xander - Keys; Jenise Zuidema - Vocals</p>",,https://linktr.ee/memoryshivers,https://open.spotify.com/artist/15rIDEmP8B2uZjcXURTjoU?si=TC4D3qh8TYGL-oc-tcp_zA,https://www.instagram.com/memoryshivers/,,https://www.youtube.com/@MemoryShivers,,,darkland-desires,round-four
Maya Piata,maya-piata,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a3ce19f397a79f7e32e5,Wed Sep 04 2024 18:15:42 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:02:08 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3f1da3274b39d2db6978_Maya%20Piata%20copy.webp,R&B / Soul,"<p id="""">Simply put, Maya Piata has the voice of an angel. The artist’s name translates to “bright shining glory”, and this moniker is something the performing and recording musician lives up to time and time again. Originally from New Orleans, Piata cut her teeth in the clubs of Deep Ellum. Now local to Dallas, Piata recently secured weekly residencies at The Free Man in Deep Ellum, and at <a href=""https://www.adolphus.com/"" target=""_blank"" id="""">The Adolphus</a> where her group performs regularly. Her inclusion in <a href=""https://www.deepellum100.com/sode"" target=""_blank"" id="""">The Sounds of Deep Ellum</a> is a testament to this young artist’s vocal talents.</p><p id="""">Maya Piata has become one of Dallas’ most sought after and celebrated vocalists. Her music evokes a calm and soulful vibe, that relies heavily on her captivating vocals, thoughtful lyrics and self confidence. Her backing tracks are reminiscent of classic 80’s and 90’s R&amp;B artists such as Lauryn Hill, Chaka Kahn and Michael Jackson. Piata describes her sound as “Sunshine Soul”, mirroring both her personality and her endless list of musical influences.</p><p id="""">“Music is the A of the A, plus B, plus C, equals D equation, in which D is the culture. Music will be  the soundtrack of your life, the one song that will perfectly and eloquently capture an emotion  that you can’t explain yourself”.</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id="""">, </em><a href=""https://www.freemandallas.com/"" target=""_blank"" id=""""><em id="""">The Free Man</em></a><em id="""">, </em><a href=""https://www.thetwilitelounge.com/"" target=""_blank"" id=""""><em id="""">Twilight Lounge</em></a><em id="""">, and </em><a href=""https://www.threelinksdeepellum.com/"" target=""_blank""><em id="""">Three Links</em></a></p>",Pace - Maya Piata,Maya Piata - Vocals; Jemarcus Bridges - Producer; Bruce Greggory - Bass; Ric Jones - Drums,"<p id=""""><em id="""">Written by Maya Piata</em></p><p id="""">Maya Piata - Vocals; Jemarcus Bridges - Producer; Bruce Greggory - Bass; Ric Jones - Drums</p>",,https://linktr.ee/shiningglory,https://open.spotify.com/artist/133XdjvuAVNL5dwSNp8mas?si=f53vEyy7QryMSMvu4jDIyQ&utm_source=copy-link&utm_medium=copy-link&nd=1&_branch_match_id=1339974952473241240&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXLy7IL8lMq9TLyczL1ncrMfSOdCxMMnNOAgA9JchmIAAAAA%3D%3D,https://www.instagram.com/mayapiata/,,,,,pace,round-four
Chilldren of Indigo,chilldren-of-indigo,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a32a65117c26b6655383,Wed Sep 04 2024 18:12:58 GMT+0000 (Coordinated Universal Time),Mon Sep 30 2024 17:23:36 GMT+0000 (Coordinated Universal Time),Mon Sep 30 2024 17:23:49 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3f2a6cfa963622fc1b70_deepellum100_trees-1010588%20copy.webp,Psychedelic Soul,"<p id="""">Chilldren of Indigo is the brainchild of Jo Indigo formed in 2014. Originally, the band began as a group of performing street musicians, making the sidewalks of Deep Ellum their own personal stage before finding themselves booked into the mainstream circuit of live music clubs. The group’s ever-expanding sound is a culmination of 8 musicians who are the sonic equivalent of an alien spaceship filled with guitars, keyboards, MPCs and creative cosmic beings plucked from far away galaxies who were brought together to sprinkle the milky way with a melodic elixir. Each contributor is an eclectic musical love child excited to show off their abilities.</p><p id="""">The group’s unique sound is like a submarine submerged into the deep of Hip-Hop, R&amp;B, and Classic Soul occasionally coming up for air to breathe in funk and soul. &nbsp;Their single “Chicken Bone” is just the tip of the iceberg for this 8 piece staple of the Dallas’ music scene. The track mixes harmonizing vocals with fierce hip hop sensibilities. Front man Jo Indigo’s stream of conscious word play brings the group’s music to an elevated state of frenzy that is unrivaled.</p><p id="""">“Our band started off performing in the streets of Deep Ellum eight years ago, so Deep Ellum has a special place on our hearts. I can say we wouldn't have made it without the support of Deep Ellum. We have a special type of supportive community here and I am proud to be a part of it.”</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.threelinkdeepellum.com/"" target=""_blank"" id=""""><em id="""">Three Links</em></a><em id="""">, </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id="""">, </em><a href=""https://www.dallasobserver.com/music/wits-end-is-leaving-deep-ellum-they-say-theyre-not-allowed-to-renew-their-lease-14285712"" target=""_blank"" id=""""><em id="""">Wits End</em></a><em id="""">, </em><a href=""https://www.dadadallas.com/"" target=""_blank"" id=""""><em id="""">Club Dada</em></a><em id="""">, </em><a href=""http://www.freemandallas.com/"" target=""_blank"" id=""""><em id="""">The Free Man</em></a><em id="""">, and </em><a href=""https://www.deepellumart.co/"" target=""_blank"" id=""""><em id="""">Deep Ellum Art Co</em></a><em id="""">.</em></p>",Chicken Bone - Chilldren Of Indigo,Jo Indigo - Vocals; Wildeflower - Vocals; Jay Indigo - Guitar; mr. limb - Guitar; Maverick Lawson - Keys; Dago Beats - Bass; Mark Phillips - Drums; Rafael Powell - Saxophone,"<p id=""""><em id="""">Written by Jo Indigo</em></p><p id="""">Jo Indigo - Vocals; Wildeflower - Vocals; Jay Indigo - Guitar; mr. limb - Guitar; Maverick Lawson - Keys; Dago Beats - Bass; Mark Phillips - Drums; Rafael Powell - Saxophone</p>",,https://chilldrenofindigo.com/,https://open.spotify.com/artist/7H2gsmri5h6fIthGdk9LYj?si=RHD0ruZcTfK1YLc72Tplpg&utm_source=copy-link&nd=1&dlsi=2c7f3b67a6fe45bf,https://www.instagram.com/chilldrenofindigo/,,,,,chicken-bone,round-four
Flower Child,flower-child,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a2d3d6c37936ef04b747,Wed Sep 04 2024 18:11:31 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:02:53 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3f346cfa963622fc2689_deepellum100_trees-1010507%20copy.webp,R&B / Hip-Hop,"<p id="""">Flower Child, also known as Flozilla is an explosive fast-flowing lyricist that got her start in Deep Ellum in 2014. The hip-hop artist cites vibration and frequency as inspirations to her work. Growing up in a musically inclined household, Flowerchild fully embodied the life of an artist from a young age. Her grandfather, a music professor at Tennessee State University, and her mother, a classically trained pianist, were two very influential people in Flower Child’s life. The gifted artist recalls singing in church throughout her childhood and picking up a pen at the age of 8.</p><p id="""">The FEMCEE and vocalist just released the completion of her EP in September titled <a href=""https://open.spotify.com/album/7eroABid3mBrvfTkDEoRXn?si=c0qUCqXETB2-yGWEkWYQuw"" target=""_blank"" id="""">“SOLACE”</a> and expresses that her favorite single re- lease thus far is “Keep Going”. “It is my favorite because it came from a place of me being in a dark place in my life. That song, and those words helped me put myself back together and move forward. “Music heals.” </p><p id="""">“I create music that is uplifting and positive for humanity, and have been actively performing in the community over the past nine years. I’d like for my musical gifts to open more doors to make way for me to be a professional musician.”</p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.ninesbar.com/"" target=""_blank"" id=""""><em id="""">The Nines</em></a><em id=""""> and </em><a href=""https://www.treesdallas.com/"" target=""_blank""><em id="""">Trees</em></a></p>",Chosen - Flower Child,Flozilla - Vox; Jahmal Cantero - Production; Jordache Grant - Pianist; Medrick Greely - Drums; Kiaren Woodards - Vocalist,"<p id=""""><em id="""">Written by Flower Child</em></p><p id="""">Flozilla - Vox; Jahmal Cantero - Production; Jordache Grant - Pianist; Medrick Greely - Drums; Kiaren Woodards - Vocalist</p>",,https://linktr.ee/TheeFloZillaMusic,https://open.spotify.com/album/7eroABid3mBrvfTkDEoRXn?si=c0qUCqXETB2-yGWEkWYQuw,https://www.instagram.com/theeflozilla/,,,,,chosen,round-four
Ducado VeGA,ducado-vega,66d8983c1cf7eb0e2e95b004,66c787046581c1e604573941,66d8a0a3d6c37936ef02bee9,Wed Sep 04 2024 18:02:11 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:03:11 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 22:04:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66eb3f596f3ec4fcf488a8df_deepellum100_trees-1010337%20copy.webp,Funk / Rock / R&B,"<p id="""">Ducado VeGA is a multi-talented musician, songwriter, producer and DJ with a three decade long spanning career; the latter of which has been spent contributing to the Deep Ellum music scene. Known for his over the top live performances, guitar solos and general “all or nothing”, attitude towards music, VeGA is a powerhouse of energy, showmanship and artistic prowess. He is also a passionate supporter of local artists, both spinning and interviewing Dallas musicians regularly on his radio show for <a href=""https://deepellumradio.com/"" target=""_blank"" id="""">Deep Ellum Radio</a>.</p><p id="""">“My goal is to eventually own and operate an independent radio station, featuring all local artists, while continuing to perform, record and release my own independent music.” </p><p id=""""><em id="""">Deep Ellum performances include: </em><a href=""https://www.treesdallas.com/"" target=""_blank"" id=""""><em id="""">Trees</em></a><em id="""">, </em><a href=""https://www.doublewidedallas.com/"" target=""_blank"" id=""""><em id="""">Double Wide</em></a><em id="""">, </em><a href=""https://www.dadadallas.com/"" target=""_blank"" id=""""><em id="""">Club Dada</em></a><em id="""">, </em><a href=""https://www.dallasobserver.com/music/wits-end-is-leaving-deep-ellum-they-say-theyre-not-allowed-to-renew-their-lease-14285712"" target=""_blank"" id=""""><em id="""">Wits End</em></a><em id=""""> and </em><a href=""https://www.centraltrack.com/exclusive-why-deep-ellum-venue-curtain-club-is-closing/"" target=""_blank""><em id="""">The Curtain Club</em></a></p>",Hella - Ducado VeGA,"Ducado VeGA - Lead Vocals, Guitar; David Crandall - Bass; Yolanda Cruz - Keyboards, Backing Vocals; Willie Boom Rushin - Drums","<p id=""""><em id="""">Written, arranged and produced by Ducado VeGA</em></p><p id="""">Ducado VeGA - Lead Vocals, Guitar; David Crandall - Bass; Yolanda Cruz - Keyboards, Backing Vocals; Willie Boom Rushin - Drums</p>",,https://ducadovega.com/,,https://www.instagram.com/ducadovega/,,,,,hella,round-four
